timestamps,TP9,AF7,AF8,TP10,Right AUX
1688548451.161,32.227,-18.066,-9.277,26.367,0.000
1688548451.165,31.250,-19.043,4.395,32.715,0.000
1688548451.169,32.227,-13.184,-0.977,33.691,0.000
1688548451.173,27.832,-12.695,-18.555,23.926,0.000
1688548451.177,20.996,-12.207,-16.602,20.508,0.000
1688548451.181,19.531,-4.395,-4.395,16.602,0.000
1688548451.184,21.484,-8.301,-2.930,14.648,0.000
1688548451.188,14.648,-21.484,0.000,17.578,0.000
1688548451.192,0.488,-22.949,8.301,9.766,0.000
1688548451.196,-9.766,-23.438,10.742,-2.930,0.000
1688548451.200,-4.883,-25.879,3.906,0.977,0.000
1688548451.204,-0.977,-30.273,0.977,5.371,0.000
1688548451.208,-1.465,-30.762,2.441,4.395,0.000
1688548451.212,4.395,-23.438,3.906,3.418,0.000
1688548451.216,-8.789,-23.926,-8.789,-5.371,0.000
1688548451.220,-12.695,-28.320,-19.531,-14.160,0.000
1688548451.223,-2.930,-30.273,4.395,0.000,0.000
1688548451.227,0.488,-25.879,23.926,7.324,0.000
1688548451.231,-1.465,-30.762,9.277,3.906,0.000
1688548451.235,-3.418,-36.133,-6.836,-1.953,0.000
1688548451.239,-1.953,-36.621,-15.137,-13.672,0.000
1688548451.243,-0.977,-39.551,-21.484,-10.254,0.000
1688548451.247,-5.859,-49.316,-24.902,-6.348,0.000
1688548451.251,-14.648,-52.246,-35.645,-16.113,0.000
1688548451.255,-16.113,-52.246,-41.504,-16.113,0.000
1688548451.259,-10.742,-62.500,-47.852,-8.301,0.000
1688548451.263,-10.254,-63.477,-58.594,-5.371,0.000
1688548451.266,0.488,-61.035,-55.176,1.953,0.000
1688548451.270,1.465,-62.012,-52.246,-5.859,0.000
1688548451.274,-6.836,-58.594,-57.129,-20.020,0.000
1688548451.278,-8.301,-55.664,-71.777,-23.926,0.000
1688548451.282,-13.184,-53.223,-76.172,-23.438,0.000
1688548451.286,-12.207,-41.504,-70.801,-13.672,0.000
1688548451.290,-21.484,-44.922,-87.402,-18.555,0.000
1688548451.294,-30.762,-56.641,-92.285,-28.320,0.000
1688548451.298,-38.574,-63.477,-86.914,-30.762,0.000
1688548451.302,-33.691,-62.988,-83.984,-29.785,0.000
1688548451.306,-17.090,-55.176,-69.824,-12.695,0.000
1688548451.309,-15.137,-46.875,-68.848,-5.371,0.000
1688548451.313,-22.461,-42.969,-77.148,-6.836,0.000
1688548451.317,-18.066,-32.715,-69.824,-8.301,0.000
1688548451.321,-13.672,-27.832,-66.406,-8.789,0.000
1688548451.325,-20.508,-35.156,-81.055,-4.883,0.000
1688548451.329,-24.902,-40.039,-76.172,-15.625,0.000
1688548451.333,-18.555,-41.016,-69.824,-23.438,0.000
1688548451.337,-12.207,-39.551,-78.125,-11.230,0.000
1688548451.341,-7.812,-32.227,-66.895,-15.137,0.000
1688548451.345,-4.883,-23.926,-52.734,-23.438,0.000
1688548451.349,-11.230,-24.414,-59.082,-9.277,0.000
1688548451.352,-8.789,-24.902,-59.082,-10.742,0.000
1688548451.356,-9.766,-27.344,-59.082,-15.625,0.000
1688548451.360,-16.602,-33.203,-49.316,-14.160,0.000
1688548451.364,-19.531,-28.809,-35.156,-17.090,0.000
1688548451.368,-23.438,-22.949,-41.016,-9.766,0.000
1688548451.372,-16.113,-26.855,-32.227,-1.953,0.000
1688548451.376,-21.973,-39.551,-11.719,-14.648,0.000
1688548451.380,-21.484,-46.875,-16.602,-29.785,0.000
1688548451.384,-14.160,-49.805,-25.391,-34.180,0.000
1688548451.388,-21.484,-52.246,-20.508,-27.832,0.000
1688548451.391,-20.508,-46.875,-22.949,-27.344,0.000
1688548451.395,-22.461,-45.410,-35.645,-38.574,0.000
1688548451.399,-33.203,-32.227,-41.504,-48.828,0.000
1688548451.403,-35.645,-17.578,-34.180,-40.527,0.000
1688548451.407,-19.531,-19.043,-31.250,-20.020,0.000
1688548451.411,-13.672,-20.996,-35.645,-17.578,0.000
1688548451.415,-32.715,-21.973,-42.480,-26.367,0.000
1688548451.419,-39.551,-26.855,-41.504,-39.551,0.000
1688548451.423,-28.320,-29.785,-29.785,-38.574,0.000
1688548451.427,-26.367,-23.926,-23.926,-16.602,0.000
1688548451.431,-28.320,-16.113,-25.879,-9.277,0.000
1688548451.434,-30.762,-15.137,-27.832,-27.344,0.000
1688548451.438,-33.203,-15.625,-38.086,-36.133,0.000
1688548451.442,-22.949,-8.789,-27.832,-25.879,0.000
1688548451.446,-18.066,-7.812,-10.254,-22.949,0.000
1688548451.450,-23.926,-19.043,-19.043,-30.273,0.000
1688548451.454,-29.297,-20.508,-27.832,-36.621,0.000
1688548451.458,-29.785,-21.973,-26.855,-29.297,0.000
1688548451.462,-26.855,-22.949,-13.184,-26.855,0.000
1688548451.466,-23.438,-24.414,-2.930,-29.297,0.000
1688548451.470,-12.695,-23.926,-9.766,-18.066,0.000
1688548451.473,-31.738,-17.578,0.977,-31.738,0.000
1688548451.477,-37.598,-13.672,13.672,-41.016,0.000
1688548451.481,-16.602,-11.230,9.766,-27.344,0.000
1688548451.485,-15.137,-11.230,3.906,-18.066,0.000
1688548451.489,-23.438,-12.207,5.371,-22.949,0.000
1688548451.493,-24.414,-22.949,0.000,-37.109,0.000
1688548451.497,-32.227,-39.551,-7.324,-39.062,0.000
1688548451.501,-46.387,-47.852,-3.906,-40.527,0.000
1688548451.505,-42.480,-48.828,-6.348,-35.645,0.000
